sentiment,clean_text
neutral,aw sorri cat worri blanket wonder rush take time
neutral,know mayb someday come home find dinner fridg
neutral,want see everyon want see
neutral,final dinner sushi
negative,kill
negative,headach
negative,disappoint
neutral,heart text famili got money come anyway
neutral,round base fast fast game
positive,that great happi
negative,want
neutral,uk say
positive,great
negative,impress almost alway rain bank holiday free day colleg
negative,mess
negative,spammer
neutral,one south florida around could hurt
positive,sure effect worth
negative,dumb keep lose follow
negative,sorri
neutral,tri today australia yet
neutral,plan even dinner shop dress shirt watch go bed plan saturday funer friend
neutral,excit miss ps last year made sad
neutral,includ follow friday
positive,fun
positive,mine one te surviv good system
positive,happi
negative,pic load twitter
positive,glad happi
neutral,look okay think someth bit hat sound like need
negative,hell
neutral,actual studi today
negative,hope get sick
negative,spent much alreadi
negative,suck holiday
negative,tough
positive,thank
negative,fear
positive,awesom
neutral,ahh like rain realli friend goin
negative,low
positive,great
positive,thank
negative,awe
negative,bad
positive,great night famili mom dad love extra compani tonight
neutral,noooo littl ill vote anyway need hang soon pls hug
neutral,got thru watchin bone top hous
negative,bore day one talk miss bf kiss
neutral,yup day older
negative,bad
negative,bore
negative,loss
positive,smile
negative,look like
positive,happi mother day
neutral,exam sexi time
neutral,head airport
negative,bad
positive,happi
positive,liter
neutral,make manag switch schedul close
positive,blog interest
neutral,that lot mango haha ahh haha joke lang
positive,mine love mommi
neutral,movi award
positive,actual quit good fo
negative,none friend go
positive,glad
neutral,call
neutral,tire lot look forward game tomorrow break constant program
neutral,want quit job
neutral,spent half day someth even control alway mean high avail
negative,headach
negative,hi ok still feel grea
negative,look pain poor bb
negative,suck
neutral,wait long
positive,awesom
neutral,curs super cool beauti women like
negative,blame
neutral,go sleep tech support email back
positive,love
neutral,next movi termin go spring year
positive,wish gave one last kiss
positive,nice
negative,say
neutral,time get readi work
negative,kind make sad though
negative,inde nut
neutral,watch movi
neutral,chang work
neutral,morn know coffe energi drink help get go morn
neutral,play window
neutral,yes monday hard hope great day get point sun
positive,best
neutral,want laundri well
positive,like best
positive,look like delici
positive,look goo
neutral,thought think manag
neutral,send dream stori twitter send mail
positive,sound good one also fun
negative,rais price
neutral,go back home tonight
negative,lazi
neutral,rose releas thursday go get
positive,look forward
negative,exam monday go fail
positive,goodnight
positive,red car hope
negative,sorri
neutral,better go put cloth guy even warm
negative,happi
neutral,still sick still love possibl come
positive,love
negative,sad
neutral,final go home get finish work ill back tomorrow
negative,record
negative,sore
positive,good
neutral,guess happen butt yesterday yes anna finger came visit said noth
neutral,thank resist
neutral,follow
neutral,welcom much longer color
neutral,miss hope fun haha
negative,bad
neutral,today product gym lot write later
negative,car thing suck feel yucki
neutral,want drink pub
positive,love
neutral,grill dinner last night senior final dinner steak mango hot wing grill
positive,love
negative,wow spam realli everyth cover mine almost stuff
negative,bad new
neutral,got smile
neutral,sleep happi keep compani
neutral,someth outsid bell stop ring think children bike
neutral,need buy cheap phone
positive,love
neutral,watch jona ep
negative,miss
negative,could
neutral,ate chocol
neutral,still work
neutral,awak give go readi today
neutral,text twitter sometim receiv phone
neutral,day write
negative,hot texa ac broken realli hot hous
negative,headach heat
neutral,friday night still saturday morn alreadi
neutral,killer best bit disappoint last song cut short watch full
neutral,juic even let use comput
neutral,thoma thing keep artist run correct offic
negative,cost much
neutral,eww gross ladi keep look weird ha ha anoth smile ask lol
negative,disgust
neutral,yes non test
positive,extrem clever
negative,bore
negative,help even read onlin
neutral,pass driver test wait turn till octob
positive,aww that sweet glad home happi mother day
positive,incred man
positive,realli like friday
positive,import
neutral,school want read page read
neutral,yo wat doin repli
positive,good
neutral,meant cnt help stop gud dat everyth think fair
negative,sad
neutral,watch
negative,jump
positive,wait
negative,miss
neutral,miss mcfli last night much front row make laugh much lol
neutral,anoth one bite
positive,full delici one philli fav
neutral,wait ami go see hannah movi
neutral,yet never text
positive,smile follow pleas lol
neutral,lucki bed ice cream sore couch
neutral,omg supernatur good news week
neutral,there yous there
neutral,today good day cold
neutral,woke full sick top went run want go back bed
neutral,aww
negative,hate hate hate hate hate hate mother day
negative,da sister hous net tonit
neutral,go search area like dream home also home home base busi one day soon
positive,good
neutral,oop excit problem
neutral,go see ya later guy
negative,ill settl cheap
neutral,hope anoth race button get anoth well deserv win
positive,hell yes keen
neutral,notic get locat right mayb way send handi
negative,broken
neutral,fr yes saw villag restaur villag sign read
positive,nice
neutral,lock mac twice time ok liter twice
neutral,new know
neutral,hope load fun love miss boy
positive,fun
negative,everyth
neutral,night well
positive,happi friday
negative,miss
neutral,half time lunch
negative,realli realli bore
negative,sad
positive,cold ugh
negative,miss last night
neutral,advic wash foot hurt worth realli want skin foot ow
neutral,gunna anoth way talk ta yu
neutral,weekend start go watch star trek go anoth night instead
positive,funni
positive,lol happi mother day well
neutral,need watch star trek
negative,there noth good tonight anyway
negative,sad
neutral,know
negative,bore
neutral,gone night anyth get hous
neutral,aww
neutral,morn sport day today race mr said trip
positive,happi
negative,disappoint year
negative,make sad
negative,stupid work
positive,famili super nice al
neutral,hate make music magic worri money awe
positive,love
negative,excit
positive,fun
neutral,go get coffe
negative,miss
neutral,listen
neutral,suppos yesterday
positive,amaz
negative,sorri
positive,thank
neutral,need coffe
negative,suck
positive,thank
positive,look forward
negative,tire
positive,yum
negative,starv
negative,get one
positive,happi
neutral,good throw back coffe like right
positive,fun week wi
positive,love lunch
positive,like
positive,relax
neutral,see say love given one chang fan
positive,good morn
negative,sad
positive,good let go get done
negative,today sad
positive,happi
neutral,latest season air indian tv channel kind download episod view onlin
negative,poor
neutral,notic kate
negative,littl bit upset
neutral,wonder get meet though
negative,aww
neutral,go danc class
negative,problem
negative,friend anyon anymor
neutral,forgot live jona brother facebook
negative,fire alarm went due someon burnt food
neutral,littl bottl jus
neutral,dream think garden
positive,want love
neutral,alright realli wish guy done show tennesse go one show
positive,enjoy
negative,smh
neutral,hmm know song
neutral,know twitter page
neutral,boy tri front ii know
neutral,good even enjoy vacat bore pray david cook brother rip
neutral,well least
negative,die
positive,bother
negative,headach
neutral,right leav high dri
positive,thank
neutral,certain show talk letter camera cafe think answer question
positive,stress hell
positive,love show much
neutral,hey guy want announc marathon let readi coupl episod
positive,great
negative,hate watch news
neutral,well see year goe mayb head back rate go want go birthday
negative,sore
neutral,sinc got got repair thought
neutral,get grill taken care morn quick shot hand ask
positive,confirm parti
negative,day
positive,hope
positive,love life right ask anyth love happi
neutral,talk
positive,happi mother day
neutral,real window shop found mani thing want happen
positive,dear god hope save
positive,enjoy
neutral,certain
negative,thing sinc hear back
positive,wish
positive,happi birthday boo bear
negative,feel bad hes sad
negative,life
positive,appreci
positive,sunday
negative,poor
positive,better
negative,stomach
positive,love miss good old day
neutral,let anyon get tire take peopl pain time happi person without
neutral,mate
negative,call cool danger fit stupid
negative,boo
negative,ruin
positive,happi
negative,ha
negative,apolog advanc
positive,good
positive,good stuff
negative,sad
neutral,yeah realli want one probabl winter may abl get one
negative,sick
neutral,love much make smile time special get scare tri
positive,date show good time
negative,sad
positive,heart
negative,want bad hate miss shoot
negative,broke
neutral,actual accord retweet least
neutral,aww know use chat cool
positive,alway look nice
neutral,how fit come along
negative,ruin
negative,feel realli sick teeth still hurt fml
negative,hurt
negative,day
neutral,what wrong
positive,pretti
negative,sad
negative,kill
negative,suck bad
neutral,wait food
negative,also brain
neutral,gone well weather stay good right bed train morn work
negative,lazi
neutral,sure boot
neutral,want sign germani field trip
neutral,kill
negative,bad time
positive,top tabl
negative,invit get togeth either secur told quiet
negative,stand hot weather
neutral,tomorrow
negative,beat
neutral,drink woot woot
neutral,stop tri reach
positive,lucki
negative,cri shame
neutral,sometim hate feel talk hes dead funni
negative,like bang want hair back
negative,sorri comput
negative,cramp
neutral,crawl night
neutral,go third
neutral,cold cloudi million load wash
negative,wonder
negative,tire
positive,mac believ regret
neutral,peopl skill
positive,love
negative,suffer much
neutral,new york doll tomorrow night cancel avail point purchas
positive,wow
negative,beat
neutral,work til
neutral,yeah physic move appar well report direct mr
neutral,go day still new tattoo
positive,happi mommi day
neutral,heyi
negative,still sore surgeri tire
positive,hope migrain stick around long
negative,miss
positive,parti
positive,good morn get readi go hospit get cat scan best wish
neutral,time
neutral,go work
neutral,hard get go today half night year old son
neutral,also lone night wish could go bad dream
positive,healthi
neutral,ohh tell bout could stop munch stock run low buy today
neutral,look background that want futur date like well ever get
negative,alright thank bore bore hell realli want go somewher
neutral,sent appl review etc releas later week
positive,yummi
negative,work
neutral,way get seat london bus current loud time
positive,delici
positive,great
positive,good
neutral,thank suggest think itll easi convinc cold call awe though
positive,thank
neutral,morn offic
neutral,want call
negative,feel right anymor
neutral,darn one right finger
neutral,checkin right
positive,happi
neutral,tuesday day long still get watch
neutral,look forward push
neutral,mine threw mouth lil leg lol
negative,sad
positive,great
neutral,lol miss
neutral,girlfriend
neutral,make list attend
negative,hard
negative,got tire
neutral,nope figur get updat blackberri need go run
negative,alway leav behind
positive,obsess
negative,hate wake earli
positive,stay posit
neutral,think ff friday anyway want cat pictur mayb though
negative,one love forgot flower
positive,congrat
negative,crazi play nice anymor
positive,wish happi monday
neutral,watch pleas twin go make ice tea
negative,wtf
positive,pleas ruin
neutral,say readi write noth els matter well song tell
negative,die
negative,cheer sad face
neutral,need one
negative,hate
negative,cri
positive,like da great
positive,want
neutral,period hate class wait home ill happiest person world wen home
neutral,classic saturday even
neutral,guess get dress pretti
positive,thing say made smile thank
neutral,go start use fast access school
neutral,exact like glasgow bgt
neutral,finish lol
neutral,make great bc lower arm move fast via
neutral,anyth good countri
positive,good
positive,fun
positive,yay
neutral,go pig ice cream potato chip
negative,depress
positive,lov
neutral,lmao know repli got repli yet
neutral,end
neutral,watch next day air
positive,love
neutral,yes minut
positive,great
positive,thank
neutral,goodnight go play rock band til time watch snl justin timberlak
neutral,late jump plane go concert think that yes boo life ohio
negative,headach
neutral,want work weekend
positive,happi
negative,feelin sad depress lone unhappi
negative,delay
neutral,tonight repeat
positive,thank
neutral,one church
neutral,watch la de episod true peopl make fun peopl
negative,hate
positive,fab new pic way
neutral,lol girl video disturb love theme cute
neutral,want follow
neutral,time chang
negative,bed two day migrain
neutral,scare figur scare mayb deal fear
neutral,hey need book go ami finish say
positive,save
negative,poor greg
negative,thing ate today
neutral,copi chick repli wrote
positive,good
positive,surpris
neutral,right must bye
negative,worri
positive,day home today prove rather love
neutral,somebodi call answer quit slowli girl eye yeah
negative,bad
neutral,oh yeah see realli get go lol care like great
neutral,know pretti sure twitter
negative,dread call
positive,nd good luck
positive,love
positive,happi
negative,bore day
neutral,yes year babi well biggest one almost long name
neutral,head head next head later pretti much
positive,cute
negative,still nightmar game
neutral,go without skype haha
positive,good
neutral,guess get twit
neutral,hey girl sent ya messag myspac
positive,love
neutral,morn
neutral,go bed beat hubbi texa hold
negative,still work
neutral,lol insan
negative,find
neutral,day dream snl
neutral,thought go show
negative,tri dang hardest watch movi finish book
negative,awww mate that
neutral,ha nice that go get count
positive,hug
positive,haha thank
neutral,hahaha ok hire mom haha wash
positive,nice
neutral,suck woot
positive,enjoy promis
neutral,made
neutral,dream realiti
positive,chill
negative,slow
negative,miss
neutral,play dj ride way sushi
neutral,bring go
neutral,miss sunshin tri stay awak hour sleep
positive,learn fli
neutral,guess ill take nap
neutral,yeah definit pillow fight
negative,last day school sad
neutral,friend
positive,thank
neutral,brown today time
positive,pretti
neutral,keep long peopl like chapter
neutral,work close
neutral,wait friend come hang
neutral,leg ok
positive,love
positive,thank
positive,awwww
negative,day other
neutral,wear jacket today cos notic mark shirt
neutral,omg finish
positive,found book look promis
neutral,call answer tri tomorrow
neutral,dare apolog uk gone apolog america never tour
negative,sad
negative,refus feel pain
neutral,pretti drunk prop two night row
positive,love
positive,thank
neutral,awww
negative,tire
positive,make day
negative,sorri hear
neutral,still involv stand lol window high guess go go
negative,done
negative,make want cri
neutral,music
neutral,think either rememb
neutral,hey know trailer hannah montana jona brother concert experi trailer
positive,recommend everyon
negative,depress stuck insid day
positive,awesom
neutral,okay one ear pop know everyth sound like everyth loud
neutral,thank saw comment realli
positive,look forward
neutral,tri edit page add name pop list pleas
negative,sorri reach either url
negative,sorri hear terribl news
neutral,oh wish dear michael wish
negative,sad
neutral,like chees
positive,awesom
positive,love
neutral,back head
positive,good
neutral,get sing mic said
negative,sad
neutral,got let go today
negative,got lazi stop
negative,sad end
positive,love
positive,oh beauti sunni
neutral,sent one weather
negative,hate
positive,good morn joy work
neutral,uh could come visit make move decis closer st
negative,suck
negative,error
positive,oh wow fast
neutral,today tomorrow anyon free drink
negative,like fo
positive,wish
neutral,part test
neutral,littl thing link england
neutral,work tonit though
positive,thank
negative,miss
neutral,local dish borrow
neutral,yet ate coupl love hard get stock state
negative,hit
neutral,one million
positive,love
positive,easi
positive,hope
neutral,get readi recept whos school
positive,love
positive,sorri
neutral,alreadi done wash spring step morn
positive,yummi strawberri
negative,oh good pierc bottom lip right grade pierc dress
positive,best
neutral,train turn
neutral,cake oven go make
neutral,straighten hair
neutral,pop rock band last one take stage tonight
neutral,work till play miley compani radio
neutral,go watch tv crazi night work tomorrow ill live somehow least mean finish earli
positive,laugh
negative,hell rain hate rain
negative,hurt
negative,stupid
neutral,yea
neutral,sorri hear bad news send happi thought way find new job soon
neutral,wait till may show better stop hang
positive,fun
neutral,feel way guess matter alway
negative,annoy
neutral,hello twitter
positive,like
neutral,hey get info graduat think mom go let go guy still want go
positive,yay
positive,feel good
neutral,set list long almost also sent cell cuz hes longer internet
neutral,wake earli enough go
neutral,oh ok guess next time
neutral,name
neutral,girl big hair rock today black babi
positive,awesom
negative,omg man ill pray ya
positive,nice posit fun day
neutral,week ago today road
neutral,love never respond hurt
positive,well thank
negative,sick
neutral,actual ador ooh miss dude
neutral,mind think
negative,lost favorit thing
positive,that like
positive,give good advic
neutral,goin dinner
positive,good luck
positive,thank
neutral,want go
positive,best
neutral,way
negative,start feel bad
positive,lol
negative,ahh dang
positive,good morn
neutral,hahaha bob one
neutral,new top day
neutral,want go home
negative,feel aw last night
positive,definit one
neutral,anybodi want comment
negative,feel
neutral,lol girl stop student afford pop hook
neutral,want itll get got go
neutral,upset
positive,cute
neutral,buy one shirt know want
negative,mom want go
negative,miss
positive,thank
neutral,hard make great point wrap heart around one
positive,love
positive,luckili
neutral,morn twitter
positive,realli good anim excel creativ inspir
neutral,sad awesom
negative,twitter today
neutral,yes realli hope one last price stori guess meant
neutral,where stori want know want know
negative,grey
positive,sweet mum
negative,sure bake bean though
neutral,spend mother day mom
positive,look forward
negative,hate
positive,happi star war day
negative,real bad headach
neutral,hang
neutral,finish death school nerd
negative,sigh alway disappoint peopl get way everyon might disappoint everyon els
negative,tire
positive,enjoy
neutral,alway last one friday
negative,hard find good
neutral,lol get bed
neutral,poor walk shoe hand face
negative,find wtf everyon plan saturday
positive,woop woop
neutral,cours lol eat
neutral,middl left side center see
positive,awe man hope someon turn
neutral,realli
neutral,heaven like heaven match
negative,need serious cheer
neutral,long hope
neutral,sent fr yesterday
negative,scare
neutral,still guess want talk
positive,hope
negative,wow one love
negative,oh melt ice cream want
neutral,whatev haha care jk
positive,favorit
positive,nice
neutral,geez sorri hear hope thing improv soon
negative,realli like
negative,weird much anymor
negative,internet connect
neutral,repli peopl serious refresh twitter sorri thank
positive,absolut hilari
negative,kill
positive,relax
neutral,come might go hour
negative,bum
negative,stuck
positive,keep good work
positive,posit
neutral,woke sound neighbor get new
neutral,oh sorri hun fine drive nut hey ho back school monday
positive,celebr
negative,dammit
negative,juli long
positive,amaz
positive,good tummi ach
neutral,tea mmmm cake
negative,suck
negative,everyth
positive,glad
negative,like
neutral,name also
positive,amaz
negative,awww sorri hun sure purpos though seem sweet
neutral,rate
negative,ah sorri hear
negative,loss
negative,super bum
neutral,dave thank play happi birthday nkotb today birthday lone birthday today
positive,feel nice
neutral,hello see onlin talk fellow lol
neutral,wow skin
neutral,want see tour
negative,tire
neutral,eat
neutral,top work today woot woot drink
positive,thank
positive,love ya guy wait see anoth awesom show soon
neutral,definit challeng tip come
neutral,age bodi cri go back sleep must resist shower trick
negative,wrong bum
positive,better
positive,that bother
negative,problem
neutral,mine atm want mine straight lmao
neutral,get although thing think ill let one
neutral,idea rock ftw yes tweet write rock info email
neutral,go wed
neutral,two room pack clean three go
negative,yet complet
neutral,listen back around love song meet tomorrow go swim sorr
neutral,singl
negative,mess
positive,love
neutral,think tea somewher probabl old though
negative,broke
positive,work done
neutral,fire
positive,like go
neutral,get tomorrow night suppos
negative,fail
neutral,sugar peopl tell
negative,kind sick
negative,week lone without gossip girl
neutral,call
negative,anyway could forgiv
neutral,goin movi first time
neutral,brown look black least red cos look like period
neutral,hangov
negative,suck
positive,excit
positive,correct
positive,lovin
neutral,impress fever best wish hope noth serious
neutral,pretti happi thing chang past best
positive,beauti
neutral,lol got ac right know get chill rain tomorrow
negative,stop
positive,happi mother day well good one
positive,good
positive,good
neutral,that way get thing done distract
negative,want hit
negative,life
positive,relax bit
negative,ill miss yall back
neutral,actual omg appar relat went school lol
neutral,home
neutral,hehe home
positive,thankyou
neutral,follow
neutral,sorri deep know love ya
neutral,count
positive,award
neutral,make sleepi want text drink silli mayb ill ring later
positive,nice
negative,miss
neutral,give snap how work go
positive,yes
positive,amaz
negative,afraid
neutral,north lol club dog rather count million call
neutral,alreadi
neutral,phone like christma tree go work peopl get everyth done monday
neutral,come home tomorrow car full
negative,want get dress
neutral,watchin girl want mom
positive,like
positive,good role model
neutral,hav chanc win given free wait till plant grow know
neutral,back top swollen face pain
negative,suck
positive,best
positive,love
neutral,rain final arriv guess mean well live room instead tonit
neutral,work
neutral,beat music hall like beat appl appl jack
neutral,matt
negative,sad
neutral,wait bus back pick town seem kind quiet tonit
positive,thank
negative,sad
positive,hahahaha laugh thank
neutral,awww know feel
neutral,that share link twitter view stat
positive,lucki
positive,wait talk soon
positive,haha nice thank let know
positive,festiv hehe
neutral,yeah
positive,love
positive,tri help
negative,scare
negative,feel lone
neutral,internet surf part lol drink
positive,nice
neutral,nope
neutral,follow friday friend
positive,happi
negative,fall nick
neutral,woke realli late today breakfast plan stay home watch tv show noth eat
neutral,turn close read watch anim
positive,happi
neutral,plan friday night home
neutral,read mind go pick boy bus stop
positive,hope amaz weekend
positive,realli well
negative,bad
positive,sweet
neutral,eat sinc guy meet sushi
neutral,watch point hd also want see hd wait
positive,thank
negative,music noth great
neutral,hey sleep
neutral,way part live never got visit uk live europ
positive,awesom
neutral,yet week left summer holiday
positive,cute
positive,fine
positive,cute
negative,bore
positive,happi
positive,happi mother day
positive,happi mum day
positive,leav alon accept
negative,lost friend
neutral,oh see today hehe
positive,excit
neutral,watch parent control
neutral,budget cut may rise
positive,nice
neutral,look follow
negative,life hard
positive,feel like love parti
negative,way
neutral,defin pari week get job certain
neutral,tokyo fashion tomorrow check web
neutral,door close mayb rich pass well
neutral,take brother airport gym
positive,happi
neutral,actual friend gave file today lol file know
positive,enjoy
neutral,sleepi earlier get see matt
positive,realli love
negative,well today
neutral,head quick drink offic build cours book suggest
positive,promis
neutral,note self wear toe court hous
neutral,listen name remind lab
negative,cri
negative,miss
negative,bad
neutral,without next week
positive,sweet dream
negative,block
positive,oh vote worri alreadi vote time earlier
neutral,even besid need put face full block
negative,never order chip due get burrito feel right without
positive,pretti cool
negative,fail
positive,thank love sunni day
negative,wtf
neutral,one bring
positive,rate
positive,great book look fantast want
neutral,ugh love hater need shut
positive,thank
negative,sleep
neutral,guess much hope nice relax mother day happi mother day mommi
positive,great reason
negative,accid
negative,turn
neutral,ad spot today visit need hot dog icon new restaur settl
neutral,get hous
negative,nerd
neutral,argh watch
neutral,list thing todayi week want thing
negative,aim work due network problem
neutral,hey use hot met christma parti hope well
positive,know better nothin
neutral,earli
neutral,fine way dog def want pit lol
positive,best
neutral,need move ny seattl get internet speed
negative,hate
neutral,watch click talkin twitter go get readi work
neutral,finish homework booo
positive,wish
positive,nice
neutral,wee done advanc audit paper
positive,nice today
neutral,got home count day till friday
neutral,watch bowl
negative,doin homework ugh
positive,wonder dog cute
neutral,come back fb friend get twitter huh jk
positive,learn togeth
positive,awesom
neutral,part enough space one drive proper nowher els put stuff yeah
neutral,tri figur tonight see game social event friend stay home play st drum
negative,miss
positive,head feel much better
positive,good
positive,happi
positive,realli well
negative,oh hell
positive,mum happi receiv card today
neutral,know love best version admit
negative,come say hi
positive,thank
neutral,come
neutral,fun fun night miss night tweet
negative,worst
negative,sad
positive,good
negative,someon pleas brain
positive,blast
neutral,look time bgt may hour
neutral,ok sister go camp mad work tomorrow
neutral,hmm wat sleep
negative,sick
negative,allergi suck
neutral,follow think seen onlin lol
positive,ca
neutral,play
neutral,feel like mmm get one coz need look good go state week go
negative,well fault
negative,bore
positive,nice know
positive,awesom
neutral,like like fish realli enjoy
neutral,lunch sushi restaur order usual sushi place clue
neutral,get readi tour
neutral,left comment blog post
positive,wish
neutral,cours happen day got
neutral,mad
neutral,well give away card twitter tweet
negative,stuck wear sun dress
positive,realli good
negative,hot sat offic want sun
neutral,need look apart tomorrow
neutral,time last night lol
positive,aww thank jon that
negative,youtub made fail right
negative,what wrong
neutral,instal window far mushroom cloud yet
neutral,ball
negative,american think mayb one problem
neutral,awsom voic bore nothin realli consid go back school yeah right rather cri boredom forev
negative,tire
negative,noth magic
positive,look forward
positive,kind cute honest
negative,sad
neutral,go take quit easi today actual yesterday great took lot energi go later
neutral,live learn
positive,lmao true
neutral,go person click green follow see
positive,like
negative,poor babi think allergi
neutral,leav homework go watch brother match later
positive,watch video youtub funni david oh talent cours
positive,wish could
positive,good
negative,miss
neutral,noth like pillow
positive,realli good day
negative,support
neutral,hav scratch
neutral,get readi go apart
neutral,yes love littl bit complic
negative,spammer
positive,nice
positive,happi mom day
positive,wow trick
negative,suck
positive,ill happi get back run soon
neutral,keen take time plane land
neutral,nice wake though hes still sleep cute
negative,sorri bout today
positive,wonder
neutral,day ca get see
neutral,earli monday yay week left
neutral,lol
neutral,much send seen yet love new bad come seattl
neutral,need replac macbook work almost half price
neutral,monday honour swine flu
neutral,check librari websit girl tattoo check
negative,wrong
neutral,happen phone
positive,hes realli good singer
neutral,back almost last
positive,happi mother day
negative,thing never chang
negative,hate arriv
neutral,okay someon key realli good hide game
positive,miss
neutral,exact
positive,hang besti
positive,happi mother day
neutral,facebook status littl upset
positive,help
neutral,holi need see bad got wait tomorrow
negative,suck
positive,wish
negative,work anymor
negative,rather worst best
neutral,appar big fear swine flu pass seat subway morn
neutral,morn everyon
neutral,go fb found one morn allow fb yayi miss
neutral,dm never sent
positive,thank
positive,home made red cupcak pretti good master goodnight
negative,food pretti bad
neutral,still take call next talk got got
positive,agre
negative,realli bad
positive,love
negative,lil sad
neutral,tweet much hahaha
negative,lost
neutral,understand thing save photo lol
neutral,realli ill look report back
positive,love
negative,suck
neutral,see movi
negative,weird
positive,happi
negative,suck
neutral,anoth account
neutral,work
positive,easier
neutral,watchin
neutral,whew first night day summer sad parti go tonight
negative,keep
negative,boss come today
negative,sad
negative,nice
positive,awesom
neutral,probabl go thing
negative,jealous
neutral,dude airport let hold much request leav
neutral,california
neutral,meant say birthday dj
neutral,made home time shower later lunch
positive,thank like said facebook made awesom happi thank
positive,soooo pretti
negative,confus
neutral,lookin work via onlin watchin latest youtub ladi friend bed call name though
negative,weird
positive,great
neutral,ill take pictur moon tomorrow night go happen today
neutral,woke italian lunch
neutral,leav back
neutral,follow dm ya
negative,bore
positive,happi mother day love mom
positive,ha ha surpris well consid good time sun mountain
positive,perfect
neutral,love surpris never surpris
positive,much welcom
positive,good night
positive,good
positive,realli good
negative,sleep proper
neutral,cousin wake
neutral,follow lol pay attent littl old
positive,name
negative,sad
positive,hang beach
positive,realli love
negative,eat breakfast get readi go school
neutral,sad day lucki enough realiz got park lot
neutral,wish famous
negative,mad go miss main tomorrow take ef day fli florida
positive,happi
negative,long day
positive,hope
positive,happi mother day happi sunday may
negative,boo
positive,relax
neutral,got look job weekend
positive,total amaz
negative,sad
neutral,wed invit
positive,best
neutral,somebodi instal server window
negative,mo
neutral,episod check
positive,wait make call tomorrow
positive,final done project haha goodnight
negative,yeah realis dun let perform drink stage law rule
neutral,great far go run tonight blue water
positive,thank
positive,happi
positive,interest
positive,yay
negative,virus
positive,thank
positive,thank soooooo much
neutral,nice day today stuck revis week
neutral,ticket need ticket ticket want
neutral,got answer
positive,biggest
negative,that man dead sure
neutral,month till big day
positive,help lot
positive,goodnight
positive,love
negative,starv
positive,wait though need find regular partner end love
neutral,noth much tv seen good ill go bed soon hot sleep
positive,welcom come hang
neutral,still follow
neutral,slept hour exhaust fun fun town trip high day far woke good old fri chicken
negative,ah bank holiday shift work fun
neutral,next gear
positive,thank
negative,devic thing work
negative,miss
neutral,look seen far blue grey
neutral,took pic andi yesterday use bros fanci time upload want
neutral,work watch milk
neutral,like justin mean respect love miley
positive,realli
neutral,tell said hi drink sing
positive,thank
neutral,work day
negative,bum broke
positive,brilliant thank sure point get though
negative,wish could follow
negative,get serious
neutral,today bank holiday mani place open tomorrow welcom
neutral,twitter extend number limit bit
neutral,nope day
positive,thanx
neutral,hold word need rain
negative,hate nick
neutral,lol night queen
positive,awsom
neutral,came back cat
positive,love ya
negative,miss
neutral,sign twitter
negative,scari guy
positive,aww sweet
neutral,anoth week start
negative,angri
positive,hot
positive,happi
neutral,huh realli wet otherwis wed gd time lot face
neutral,go know yet
negative,get full idea
negative,die
neutral,ha english portfolio final final half done whoa time sleep night
positive,today quiz time game show play plus free drink today
negative,ill miss game
positive,cool
positive,love
positive,oh nice hope wonder relax day
negative,get upset listen say
positive,feel much better histori research
negative,learn hard way
positive,thrill
neutral,near grand time
positive,good
neutral,omg forgot lucki thing hope fun
negative,migrain fight way back
positive,excel
neutral,creativ parti
positive,good
neutral,still figur ride far might well see happen
positive,wow calm even
negative,soooo expens
negative,drop
positive,good
neutral,eat
neutral,even mile mile apart still hold heart day jona brother concert experi
negative,world dog die well miss
neutral,breakfast jump shower head land black part
positive,love new
positive,pretti perfect eh
negative,hate say
neutral,wake star war end titl song awesom also kind creepi
positive,great crazi english name
positive,lmao
negative,pump
positive,happi
neutral,ahhh done still hope lol
neutral,london show
positive,realli realli good
negative,miss
positive,pretti fun way
negative,got bad card suck
negative,suck
positive,wish could famous act danc
positive,thank
neutral,sister said hannah today hannah appar
neutral,dude
positive,good morn
neutral,wait laundri finish go home think ill nail wait
positive,aw thank
negative,hell air today
negative,crappi
neutral,lol thank glad time spend imagin tri go work right
negative,guy retard
negative,miss
neutral,check iphon work fine type
neutral,hope least fun today horribl way start birthday
neutral,dr offic second round shot
neutral,get tongu
neutral,upload soon
negative,feel good
positive,yummi
neutral,oh went friend last night ran sad realli cute
positive,love
positive,lol love much better happi freak stop smile enjoy monday
positive,awesom
neutral,parent take cake though groceri shop go eat time
neutral,total need sleep need wash though
negative,hate
positive,welcom
neutral,hey lo
neutral,sugar free gone grand good grand bit
neutral,woo whole earth tonight mayb tomorrow let know come back yay
positive,okay
negative,find nobodi
neutral,coffe make
neutral,want hear voic
negative,sad
positive,love
positive,good
positive,interest one
neutral,tonight
neutral,one go see
neutral,want go home
positive,good
neutral,realli want go net
neutral,guy interest watch get tattoo tomorrow let know
positive,thank awesom
negative,lone
positive,that awesom man
neutral,back home
neutral,record ala offic central london
neutral,finish set
neutral,omg bring back high school day
positive,thank
neutral,got crush song
positive,omg
negative,st get rid
neutral,hey mr danger
neutral,bet bad
neutral,one els well mayb jess
neutral,anoth day town
positive,quit laugh nite ever
negative,hes outta cours til monday grand kind bum bc sick there
neutral,there small
positive,amaz
neutral,juli issu anyth link right
positive,excit
neutral,come contact sugar sort
neutral,well word bat basebal bat tini littl thing
negative,miss much
negative,sore knee
positive,good
positive,love profil websit neat love
positive,happi
positive,chillin
negative,lost
